,explainer,runtime,runtime-std,Graph_Edit_Distance,Graph_Edit_Distance-std,Oracle_Calls,Oracle_Calls-std,Correctness,Correctness-std,Sparsity,Sparsity-std,Fidelity,Fidelity-std,Oracle_Accuracy,Oracle_Accuracy-std
0,bidirectional_data-driven_search,5023.76275871579,301.1210636497956,123.57425742574257,0.0,2229.5742574257424,0.0,0.0,0.0,0.008531381117669318,1.734723475976807e-18,0.0,0.0,0.514851485148515,1.1102230246251565e-16
1,dce_search,0.4149892738550016,0.11143160266325361,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514851485148515,1.1102230246251565e-16
2,bidirectional_oblivious_search,24.725176659669025,10.730439944489902,0.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514851485148515,1.1102230246251565e-16
