,explainer,runtime,runtime-std,Graph_Edit_Distance,Graph_Edit_Distance-std,Oracle_Calls,Oracle_Calls-std,Correctness,Correctness-std,Sparsity,Sparsity-std,Fidelity,Fidelity-std,Oracle_Accuracy,Oracle_Accuracy-std
0,cf2,0.5808002972602844,0.6668073347800894,27.565999999999995,0.07696752561957583,180.0,540.0,0.4960000000000001,0.06560487786742689,0.4960322169059011,0.000694529210936302,0.4960000000000001,0.06560487786742689,1.0,0.0
1,i-rand,0.21789721364974976,0.00776979112399363,0.5877999999999999,0.01887749983445903,484.59900000000005,13.800304438670905,0.5692,0.012432216214336017,0.010660064935064936,0.00033709821132962435,0.5692,0.012432216214336017,1.0,0.0
2,countergan,13.003178939819335,0.0,274.34,0.0,1321.0,0.0,0.48,0.0,4.936396445659604,0.0,0.48,0.0,1.0,0.0
3,clear,22.121447208404543,2.912408959814202,64.006,2.6628375842322805,4500.0,0.0,0.5039999999999999,0.06560487786742691,1.1521037593984962,0.047923497774874764,0.5039999999999999,0.06560487786742691,1.0,0.0
